Name,Start column,End Column,Description
DIFFWG42,1089   ,1090   ,PERSONS WAGES DIFFERENT THIS RD42 AT CMJ
DIFFWG53,1091   ,1092   ,PERSONS WAGES DIFFERENT THIS RD53 AT CMJ
DISVW31X,1138   ,1139   ,DISAVOWED HEALTH INS AT RD 3/1 CMJ (ED)
DISVW42X,1140   ,1141   ,DISAVOWED HEALTH INS AT RD 4/2 CMJ (ED)
DISVW53X,1142   ,1143   ,DISAVOWED HEALTH INS AT RD 5/3 CMJ (ED)
DIVDP14X,1498   ,1503   ,PERSON'S DIVIDEND INCOME
DIVIMP14,1504   ,1504   ,DIVIDEND INCOME IMPUTATION FLAG
DKWHRU42,936   ,937   ,AC08 OTH REAS NO USC:DK WHERE TO GO-R4/2
DNDLAY42,1038   ,1039   ,DELAYED IN GETTING NEC DENTAL CARE-R4/2
DNDLRS42,1040   ,1041   ,AC46 RSN DLAYD GETTNG NEC DENT CARE-R4/2
DNTINS14,2553   ,2554   ,DENTAL INS - R5/R3 UNTIL 12/31/14
DNTINS31,2551   ,2552   ,DENTAL INS - RD 3/1 IN 14
DNUNAB42,1034   ,1035   ,UNABLE TO GET NECESSARY DENTAL CARE-R4/2
DNUNRS42,1036   ,1037   ,AC42 RSN UNABLE GET NCSRY DENT CARE-R4/2
DOBMM,181   ,182   ,DATE OF BIRTH: MONTH
DOBYY,183   ,186   ,DATE OF BIRTH: YEAR
DOCELS42,958   ,959   ,AC08 OTH REAS NO USC: DR ELSEWHERE-R4/2
DPINRU14,1422   ,1423   ,DEPENDENTS IN/OUT OF RU
DPOTSD14,1424   ,1425   ,HOW MANY DEPENDENTS LIVE OUTSIDE RU
DSA1C53,827   ,828   ,DCS: TIMES TESTED FOR A-ONE-C IN 2013
DSCB1353,855   ,856   ,DCS: BLOOD CHOLESTEROL CHECKED BEF 2013
DSCGRP53,887   ,888   ,DCS: LEARNED CARE BY TAKING GROUP CLASS
DSCH1353,853   ,854   ,DCS: BLOOD CHOLESTEROL CHECKED IN 2013
DSCH1453,851   ,852   ,DCS: BLOOD CHOLESTEROL CHECKED IN 2014
DSCH1553,849   ,850   ,DCS: BLOOD CHOLESTEROL CHECKED IN 2015
DSCHNV53,857   ,858   ,DCS: NEVER HAD BLOOD CHOLESTEROL CHECKED
DSCINT53,885   ,886   ,DCS: LEARNED CARE FROM READING INTERNET
DSCNPC53,881   ,882   ,DCS: LEARNED CARE FROM OTHER PROVIDER
DSCONF53,889   ,890   ,DCS: CONFIDENT TAKING CARE OF DIABETES
DSCPCP53,879   ,880   ,DCS: LEARNED CARE FROM PRIMARY CARE PROV
DSCPHN53,883   ,884   ,DCS: LEARN CARE FROM PHONE CALL W/PROV
DSDIA53,825   ,826   ,DCS: DIABETES DIAGNOSIS BY HEALTH PROF
DSDIET53,873   ,874   ,DCS: TREAT DIABETES W/DIET MODIFICATION
DSEB1353,845   ,846   ,DCS: DILATED EYE EXAM BEFORE 2013
DSEY1353,843   ,844   ,DCS: DILATED EYE EXAM IN 2013
DSEY1453,841   ,842   ,DCS: DILATED EYE EXAM IN 2014
DSEY1553,839   ,840   ,DCS: DILATED EYE EXAM IN 2015
DSEYNV53,847   ,848   ,DCS: NEVER HAD DILATED EYE EXAM
DSEYPR53,871   ,872   ,DCS: HAS DIABETES CAUSED EYE PROBS
DSFB1353,835   ,836   ,DCS: HAD FEET CHECKED BEFORE 2013
DSFL1353,863   ,864   ,DCS: GOT FLU VACCINATION IN 2013
DSFL1453,861   ,862   ,DCS: GOT FLU VACCINATION IN 2014
DSFL1553,859   ,860   ,DCS: GOT FLU VACCINATION IN 2015
DSFLNV53,867   ,868   ,DCS: NEVER GOT FLU VACCINATION
DSFT1353,833   ,834   ,DCS: HAD FEET CHECKED DURING 2013
DSFT1453,831   ,832   ,DCS: HAD FEET CHECKED DURING 2014
DSFT1553,829   ,830   ,DCS: HAD FEET CHECKED DURING 2015
DSFTNV53,837   ,838   ,DCS: NEVER HAD FEET CHECKED
DSINSU53,877   ,878   ,DCS: TREAT DIABETES W/INSULIN INJECTIONS
DSKIDN53,869   ,870   ,DCS: HAS DIABETES CAUSED KIDNEY PROBLEMS
DSMED53,875   ,876   ,DCS: TREAT DIABETES W/MEDS BY MOUTH
DSPRX53,891   ,892   ,DCS: WAS RESPONDENT A PROXY
DSVB1353,865   ,866   ,DCS: GOT FLU VACCINATION BEFORE 2013
DUID,1   ,5   ,DWELLING UNIT ID
DUPERSID,9   ,16   ,PERSON ID (DUID + PID)
DVGEN14,4848   ,4849   ,# GENERAL DENTIST VISITS 14
DVGEXP14,4855   ,4859   ,TOTAL GENERAL DENTIST EXP 14
DVGMCD14,4869   ,4872   ,GNRL DENTAL VISITS - MEDICAID AMT 14
DVGMCR14,4865   ,4868   ,GNRL DENTAL VISITS - MEDICARE AMT 14
DVGOFD14,4886   ,4889   ,GNRL DENTAL VISITS - OTHER FED AMT 14
DVGOPR14,4898   ,4901   ,GNRL DENTAL VISITS - OTH PRIVATE AMT 14
DVGOPU14,4902   ,4905   ,GNRL DENTAL VISITS - OTH PUBLIC AMT 14
DVGOSR14,4906   ,4909   ,GNRL DENT VSTS - OT UNCLASS SRCE AMT 14
DVGOTH14,4915   ,4918   ,GNRL DENTAL VISITS - OTH COMBINED AMT 14
DVGPRV14,4873   ,4877   ,GNRL DENTAL VISITS - PRIVATE INS AMT 14
DVGPTR14,4910   ,4914   ,GNRL DENTAL VISITS - PRV & TRI AMT 14
DVGSLF14,4860   ,4864   ,GNRL DENTAL VISITS - SELF/FAM AMT 14
DVGSTL14,4890   ,4893   ,GNRL DENTAL VISITS - OTH ST/LOCAL AMT 14
DVGTCH14,4850   ,4854   ,GENERAL DENTAL CARE VISIT CHARGES 14
DVGTRI14,4882   ,4885   ,GNRL DENTAL VISITS-TRICARE AMT 14
DVGVA14,4878   ,4881   ,GNRL DENTAL VISITS - VA/CHAMPVA AMT 14
DVGWCP14,4894   ,4897   ,GNRL DENTAL VISITS - WORKERS COMP AMT 14
DVOEXP14,4926   ,4930   ,TOTAL ORTHODONTIST EXP 14
DVOMCD14,4940   ,4944   ,ORTHODONTIST VISITS - MEDICAID AMT 14
DVOMCR14,4936   ,4939   ,ORTHODONTIST VISITS - MEDICARE AMT 14
DVOOFD14,4957   ,4957   ,ORTHODONTIST VISITS-OTHR FED AMT 14
DVOOPR14,4963   ,4966   ,ORTHODONTIST VISITS-OTHR PRIVATE AMT 14
DVOOPU14,4967   ,4967   ,ORTHODONTIST VISITS-OTHR PUBLIC AMT 14
DVOOSR14,4968   ,4970   ,ORTHODONT VSTS - OT UNCLASS SRCE AMT 14
DVOOTH14,4976   ,4979   ,ORTHODONTIST VISITS-OTH COMBINED AMT 14
DVOPRV14,4945   ,4949   ,ORTHODONTIST VISITS - PRIVATE INS AMT 14
DVOPTR14,4971   ,4975   ,ORTHODONTIST VISITS - PRV & TRI AMT 14
DVORTH14,4919   ,4920   ,# ORTHODONTIST VISITS 14
DVOSLF14,4931   ,4935   ,ORTHODONTIST VISITS - SELF/FAMILY AMT 14
DVOSTL14,4958   ,4961   ,ORTHODONTIST VISITS-OTHR ST/LOCAL AMT 14
DVOTCH14,4921   ,4925   ,ORTHODONTIST VISIT CHARGES 14
DVOTRI14,4953   ,4956   ,ORTHODONTIST VISITS-TRICARE AMT 14
DVOVA14,4950   ,4952   ,ORTHODONTIST VISITS-VA/CHAMPVA AMT 14
DVOWCP14,4962   ,4962   ,ORTHODONTIST VISITS-WORKERS COMP AMT 14
DVTEXP14,4782   ,4786   ,TOTAL DENTAL CARE EXP 14
DVTMCD14,4797   ,4801   ,ALL DENTAL CARE - MEDICAID AMT 14
DVTMCR14,4792   ,4796   ,ALL DENTAL CARE - MEDICARE AMT 14
DVTOFD14,4815   ,4818   ,ALL DENTAL CARE - OTHER FEDRL AMT 14
DVTOPR14,4827   ,4830   ,ALL DENTAL CARE - OTH PRIVATE AMT 14
DVTOPU14,4831   ,4834   ,ALL DENTAL CARE - OTH PUBLIC AMT 14
DVTOSR14,4835   ,4838   ,ALL DENT CARE-OT UNCLASS SRCE AMT 14
DVTOT14,4775   ,4776   ,# DENTAL CARE VISITS 14
DVTOTH14,4844   ,4847   ,ALL DENTAL CARE - OTH COMBINED AMT 14
DVTPRV14,4802   ,4806   ,ALL DENTAL CARE - PRIVATE INS AMT 14
DVTPTR14,4839   ,4843   ,ALL DENTAL CARE - PRV & TRI AMT 14
DVTSLF14,4787   ,4791   ,ALL DENTAL CARE - SELF/FAMILY AMT 14
DVTSTL14,4819   ,4822   ,ALL DENTAL CARE - OTH ST/LOCAL AMT 14
DVTTCH14,4777   ,4781   ,TOTAL DENTAL CARE VISIT CHARGES 14
DVTTRI14,4811   ,4814   ,ALL DENTAL CARE - TRICARE AMT 14
DVTVA14,4807   ,4810   ,ALL DENTAL CARE - VA/CHAMPVA AMT 14
DVTWCP14,4823   ,4826   ,ALL DENTAL CARE - WORKERS COMP AMT 14
EATHLT42,622   ,623   ,DR ADVISE EAT HEALTHY (2-17)-R4/2
EDRECODE,229   ,230   ,EDUCATION RECODE (EDITED)
EDUCYR,227   ,228   ,YEARS OF EDUC WHEN FIRST ENTERED MEPS
EDUYRDG,225   ,226   ,YEAR OF EDUCATION OR HIGHEST DEGREE
EICRDT14,1430   ,1431   ,DID/WILL PERS RECEIVE EARNED INC CREDIT
ELGRND14,158   ,158   ,ELIGIBILITY STATUS AS OF 12/31/14
ELGRND31,155   ,155   ,ELIGIBILITY - R3/1
ELGRND42,156   ,156   ,ELIGIBILITY - R4/2
ELGRND53,157   ,157   ,ELIGIBILITY - R5/3
EMPHAGED,327   ,328   ,AGE OF DIAGNOSIS-EMPHYSEMA
EMPHDX,325   ,326   ,EMPHYSEMA DIAGNOSIS (>17)
EMPST31,1271   ,1272   ,EMPLOYMENT STATUS RD 3/1
EMPST31H,1277   ,1278   ,EMPLOYMENT STATUS RD 3/1 (IMP)
EMPST42,1273   ,1274   ,EMPLOYMENT STATUS RD 4/2
EMPST42H,1279   ,1280   ,EMPLOYMENT STATUS RD 4/2 (IMP)
EMPST53,1275   ,1276   ,EMPLOYMENT STATUS RD 5/3
EMPST53H,1281   ,1282   ,EMPLOYMENT STATUS RD 5/3 (IMP)
ENDRFM14,142   ,143   ,2014 REFERENCE PERIOD END DATE: MONTH
ENDRFM31,112   ,113   ,R3/1 REFERENCE PERIOD END DATE: MONTH
ENDRFM42,124   ,125   ,R4/2 REFERENCE PERIOD END DATE: MONTH
ENDRFM53,136   ,137   ,R5/3 REFERENCE PERIOD END DATE: MONTH
ENDRFY14,144   ,147   ,2014 REFERENCE PERIOD END DATE: YEAR
ENDRFY31,114   ,117   ,R3/1 REFERENCE PERIOD END DATE: YEAR
ENDRFY42,126   ,129   ,R4/2 REFERENCE PERIOD END DATE: YEAR
ENDRFY53,138   ,141   ,R5/3 REFERENCE PERIOD END DATE: YEAR
ERDEXP14,4348   ,4352   ,TOTAL EMERGENCY ROOM DR EXP 14
ERDMCD14,4367   ,4371   ,ER-MEDICAID AMT - DR 14
ERDMCR14,4362   ,4366   ,ER-MEDICARE AMT - DR 14
ERDOFD14,4384   ,4384   ,ER-OTHER FED AMT - DR 14
ERDOPR14,4392   ,4395   ,ER - OTHER PRIVATE AMT - DR 14
ERDOPU14,4396   ,4398   ,ER - OTHER PUBLIC AMT - DR 14
ERDOSR14,4399   ,4402   ,ER-OTH UNCLASS SRCE AMT - DR 14
ERDOTH14,4408   ,4411   ,ER-OTH COMBINED AMT - DR 14
ERDPRV14,4372   ,4376   ,ER-PRIVATE INS AMT - DR 14
ERDPTR14,4403   ,4407   ,ER-PRV & TRI AMT - DR 14
ERDSLF14,4358   ,4361   ,ER-SELF/FAMILY AMT - DR 14
ERDSTL14,4385   ,4387   ,ER-OTH ST/LOCAL AMT - DR 14
ERDTCH14,4353   ,4357   ,ER DOCTOR VISIT CHARGES 14
ERDTRI14,4381   ,4383   ,ER-TRICARE AMT - DR 14
ERDVA14,4377   ,4380   ,ER-VA/CHAMPVA AMT - DR 14
ERDWCP14,4388   ,4391   ,ER-WORKERS COMP AMT - DR 14
ERFEXP14,4275   ,4280   ,TOTAL ER FACILITY EXP 14
ERFMCD14,4291   ,4295   ,ER-MEDICAID AMT - FAC 14
ERFMCR14,4286   ,4290   ,ER-MEDICARE AMT - FAC 14
ERFOFD14,4310   ,4313   ,ER-OTHER FEDERAL AMT - FAC 14
ERFOPR14,4322   ,4326   ,ER-OTHER PRIVATE AMT - FAC 14
ERFOPU14,4327   ,4331   ,ER-OTHER PUBLIC AMT - FAC 14
ERFOSR14,4332   ,4336   ,ER-OTH UNCLASS SRCE AMT - FAC 14
ERFOTH14,4343   ,4347   ,ER-OTH COMBINED AMT - FAC 14
ERFPRV14,4296   ,4301   ,ER-PRIVATE INS AMT - FAC 14
ERFPTR14,4337   ,4342   ,ER-PRV & TRI AMT - FAC 14
ERFSLF14,4281   ,4285   ,ER-SELF/FAMILY AMT - FAC 14
ERFSTL14,4314   ,4317   ,ER-OTH ST/LOCAL AMT - FAC 14
ERFTCH14,4269   ,4274   ,ER FACILITY VISIT CHARGES 14
ERFTRI14,4306   ,4309   ,ER-TRICARE AMT - FAC 14
ERFVA14,4302   ,4305   ,ER-VA/CHAMPVA AMT - FAC 14
ERFWCP14,4318   ,4321   ,ER-WORKERS COMP AMT - FAC 14
ERTEXP14,4196   ,4201   ,TOTAL ER FACILITY + DR EXP 14
ERTMCD14,4212   ,4216   ,ER-MEDICAID AMT-(FAC+DR) 14
ERTMCR14,4207   ,4211   ,ER-MEDICARE AMT-(FAC+DR) 14
ERTOFD14,4231   ,4234   ,ER-OTHER FED AMT-(FAC+DR) 14
ERTOPR14,4243   ,4247   ,ER-OTH PRIVATE AMT-(FAC+DR) 14
ERTOPU14,4248   ,4252   ,ER-OTH PUBLIC AMT-(FAC+DR) 14
ERTOSR14,4253   ,4257   ,ER-OTH UNCLASS SRCE AMT-(FAC+DR) 14
ERTOT14,4188   ,4189   ,# EMERGENCY ROOM VISITS 14
ERTOTH14,4264   ,4268   ,ER -OTH COMBINED AMT (FAC+DR) 14
ERTPRV14,4217   ,4222   ,ER-PRIV INS AMT-(FAC+DR) 14
ERTPTR14,4258   ,4263   ,ER-PRV & TRI AMT (FAC+DR) 14
ERTSLF14,4202   ,4206   ,ER-SELF/FAMILY AMT-(FAC+DR) 14
ERTSTL14,4235   ,4238   ,ER-OTH ST/LOCAL AMT-(FAC+DR) 14
ERTTCH14,4190   ,4195   ,ER FACILITY + DR VISIT CHARGES 14
ERTTRI14,4227   ,4230   ,ER-TRICARE AMT-(FAC+DR) 14
ERTVA14,4223   ,4226   ,ER-VA/CHAMPVA AMT-(FAC+DR) 14
ERTWCP14,4239   ,4242   ,ER-WORKERS COMP AMT-(FAC+DR) 14
EVRETIRE,1209   ,1210   ,PERSON HAS EVER RETIRED
EVRWRK,1058   ,1059   ,EVER WRKD FOR PAY IN LIFE AS OF 12/31/14
EXPLOP42,1022   ,1023   ,AC30 PROV EXPLNS OPTIONS TO PERS-R4/2
EXRCIS53,662   ,663   ,ADVISED TO EXERCISE MORE (>17) - RD 5/3
FAMID14,25   ,26   ,FAMILY ID (STUDENT MERGED IN) - 12/31/14
FAMID31,19   ,20   ,FAMILY ID (STUDENT MERGED IN) - R3/1
FAMID42,21   ,22   ,FAMILY ID (STUDENT MERGED IN) - R4/2
FAMID53,23   ,24   ,FAMILY ID (STUDENT MERGED IN) - R5/3
FAMIDYR,27   ,28   ,ANNUAL FAMILY IDENTIFIER
FAMINC14,1447   ,1452   ,FAMILY'S TOTAL INCOME
FAMRFPYR,72   ,72   ,REFERENCE PERSON OF ANNUALIZED FAMILY
FAMS1231,68   ,69   ,FAMILY SIZE OF RESPONDING 12/31 FAMILY
FAMSZE14,64   ,65   ,RU SIZE INCLUDING STUDENT AS OF 12/31/14
FAMSZE31,58   ,59   ,RU SIZE INCLUDING STUDENTS - R3/1
FAMSZE42,60   ,61   ,RU SIZE INCLUDING STUDENTS - R4/2
FAMSZE53,62   ,63   ,RU SIZE INCLUDING STUDENTS - R5/3
FAMSZEYR,70   ,71   ,SIZE OF RESPONDING ANNUALIZED FAMILY
FAMWT14C,5357   ,5368   ,POV ADJ FAMILY WGT-CPS FAM ON 12/31/14
FAMWT14F,5345   ,5356   ,"FINAL FAMILY WEIGHT, 2014"
FCRP1231,33   ,34   ,REF PERSON OF 12/31 CPS FAMILY
FCSZ1231,31   ,32   ,FAM SIZE RESPONDING 12/31 CPS FAMILY
FILEDR14,1405   ,1406   ,HAS PERSON FILED A FED INCOME TAX RETURN
FILER14,1411   ,1412   ,PRIMARY OR SECONDARY FILER
FLSTAT14,1409   ,1410   ,PERSON'S FILING STATUS
FLUSHT53,664   ,665   ,HOW LNG LAST FLU VACINATION (>17)-RD 5/3
FMRS1231,66   ,67   ,MEMBER OF RESPONDING 12/31 FAMILY
FNGRDF31,461   ,462   ,DIFFICULTY USING FINGERS TO GRASP-RD 3/1
FNGRDF53,463   ,464   ,DIFFICULTY USING FINGERS TO GRASP-RD 5/3
FOODMN14,1434   ,1435   ,NUMBER OF MONTHS FOOD STAMPS PURCHASED
FOODST14,1432   ,1433   ,DID ANYONE PURCHASE FOOD STAMPS
FOODVL14,1436   ,1439   ,MONTHLY VALUE OF FOOD STAMPS
FSAAMT31,2274   ,2280   ,FSA TOTAL AMOUNT FOR RU - R3/1
FSAGT31,2270   ,2271   ,ANYONE IN RU HAVE FSA - R3/1
FTSTU14X,237   ,238   ,STUDENT STATUS IF AGES 17-23 - 12/31/14
FTSTU31X,231   ,232   ,STUDENT STATUS IF AGES 17-23 - R3/1
FTSTU42X,233   ,234   ,STUDENT STATUS IF AGES 17-23 - R4/2
FTSTU53X,235   ,236   ,STUDENT STATUS IF AGES 17-23 - R5/3
GENDRP42,1000   ,1001   ,AC20 IS PROVIDER MALE OR FEMALE-R4/2
HASFSA31,2272   ,2273   ,PERSON IS FSA HOLDER - R3/1
HAVEUS42,926   ,927   ,AC05 DOES PERSON HAVE USC PROVIDER-R4/2
HAVFUN42,553   ,554   ,PROBLEM HAVING FUN (5-17) - R4/2
HEALTH42,962   ,963   ,AC08 OTH REAS NO USC: HLTH RELATED-R4/2
HEARAD42,509   ,510   ,PERSON WEARS HEARING AID - RD 4/2
HELD31X,1253   ,1254   ,HEALTH INSUR HELD FROM RD 3/1 CMJ (ED)
HELD42X,1255   ,1256   ,HEALTH INSUR HELD FROM RD 4/2 CMJ (ED)
HELD53X,1257   ,1258   ,HEALTH INSUR HELD FROM RD 5/3 CMJ (ED)
HELMET42,642   ,643   ,DR ADVISE BIKE HELMET (2-17)-R4/2
HHAEXP14,4992   ,4997   ,TOTAL HOME HEALTH AGENCY EXP 14
HHAGD14,4983   ,4985   ,# AGENCY HOME HEALTH PROVIDER DAYS 14
HHAMCD14,5008   ,5013   ,HOME HLTH AGENCY - MEDICAID AMT 14
HHAMCR14,5003   ,5007   ,HOME HLTH AGENCY - MEDICARE AMT 14
HHAOFD14,5028   ,5031   ,HOME HLTH AGENCY - OTHER FED AMT 14
HHAOPR14,5042   ,5046   ,HOME HLTH AGENCY - OTH PRIVATE AMT 14
HHAOPU14,5047   ,5047   ,HOME HLTH AGENCY - OTH PUBLIC AMT 14
HHAOSR14,5048   ,5052   ,H HLTH AGENCY - OT UNCLASS SRCE AMT 14
HHAOTH14,5059   ,5063   ,HOME HLTH AGENCY - OTH COMBINED AMT 14
HHAPRV14,5014   ,5019   ,HOME HLTH AGENCY - PRIVATE INS AMT 14
HHAPTR14,5053   ,5058   ,HOME HLTH AGENCY - PRV & TRI AMT 14
HHASLF14,4998   ,5002   ,HOME HLTH AGENCY - SELF/FAMILY AMT 14
HHASTL14,5032   ,5036   ,HOME HLTH AGENCY-OTHR ST/LOCAL AMT 14
HHATCH14,4986   ,4991   ,HOME HEALTH AGENCY VISIT CHARGES 14
HHATRI14,5025   ,5027   ,HOME HLTH AGENCY-TRICARE AMT 14
HHAVA14,5020   ,5024   ,HOME HLTH AGENCY-VA/CHAMPVA AMT 14
HHAWCP14,5037   ,5041   ,HOME HLTH AGENCY - WORKERS COMP AMT 14
HHINDD14,5064   ,5066   ,# NON-AGENCY HOME HEALTH PROVIDR DAYS 14
HHINFD14,5115   ,5117   ,# INFORMAL HOME HEALTH PROVIDER DAYS 14
HHNEXP14,5072   ,5076   ,TOTAL HOME HEALTH NON-AGNCY EXP 14
HHNMCD14,5082   ,5086   ,HOME HLTH NON-AGNCY - MEDICAID AMT 14
HHNMCR14,5087   ,5089   ,HOME HLTH NON-AGNCY - MEDICARE AMT 14
HHNOFD14,5097   ,5097   ,HOME HLTH NON-AGNCY-OTHR FED AMT 14
HHNOPR14,5104   ,5104   ,HOME HLTH NON-AGNCY-OTH PRIVATE AMT 14
HHNOPU14,5105   ,5105   ,HOME HLTH NON-AGNCY-OTH PUBLIC AMT 14
HHNOSR14,5106   ,5108   ,H HLTH NON-AGNCY-OT UNCLASS SRCE AMT 14
HHNOTH14,5112   ,5114   ,HOME HLTH NON-AGNCY-OTH COMBINED AMT 14
HHNPRV14,5090   ,5092   ,HOME HLTH NON-AGNCY - PRIV INS AMT 14
HHNPTR14,5109   ,5111   ,HOME HLTH NON-AGNCY - PRV & TRI AMT 14
HHNSLF14,5077   ,5081   ,HOME HLTH NON-AGNCY - SELF/FAM AMT 14
HHNSTL14,5098   ,5100   ,HOME HLTH NON-AGNCY-OTHR ST/LOCL AMT 14
HHNTCH14,5067   ,5071   ,HOME HEALTH NON-AGENCY VISIT CHARGES 14
HHNTRI14,5096   ,5096   ,HOME HLTH NON-AGNCY-TRICARE AMT 14
HHNVA14,5093   ,5095   ,HOME HLTH NON-AGNCY-VA/CHAMPVA AMT 14
HHNWCP14,5101   ,5103   ,HOME HLTH NON-AGNCY-WORKERS COMP AMT 14
HHTOTD14,4980   ,4982   ,"# HOME HEALTH PROVIDER DAYS, 2014"
HIBPAGED,301   ,302   ,AGE OF DIAGNOSIS-HIGH BLOOD PRESSURE
HIBPDX,299   ,300   ,HIGH BLOOD PRESSURE DIAG (>17)
HIEUIDX,1582   ,1588   ,HIEU IDENTIFIER
HISPANX,195   ,195   ,HISPANIC ETHNICITY (EDITED/IMPUTED)
HISPNCAT,196   ,196   ,HISPANIC ETHNICITY (EDITED/IMPUTED)
HOMEBH42,567   ,568   ,PROBLEM W/BEHAVIOR AT HOME (5-17)-R4/2
HONRDC31,245   ,246   ,HONORABLY DISCHARGED FROM MILITARY
HONRDC42,247   ,248   ,HONORABLY DISCHARGED FROM MILITARY
HONRDC53,249   ,250   ,HONORABLY DISCHARGED FROM MILITARY
HOUR31,1111   ,1113   ,HOURS PER WEEK AT RD 3/1 CMJ
HOUR31H,1316   ,1318   ,HOURS PER WEEK AT RD 3/1 CMJ (IMP)
HOUR42,1114   ,1116   ,HOURS PER WEEK AT RD 4/2 CMJ
HOUR42H,1319   ,1321   ,HOURS PER WEEK AT RD 4/2 CMJ (IMP)
HOUR53,1117   ,1119   ,HOURS PER WEEK AT RD 5/3 CMJ
HOUR53H,1322   ,1324   ,HOURS PER WEEK AT RD 5/3 CMJ (IMP)
HPDAP14,2027   ,2028   ,HOLDER OF PRIV INS (SOURCE UNKNWN) APR14
HPDAU14,2035   ,2036   ,HOLDER OF PRIV INS (SOURCE UNKNWN) AUG14
HPDDE14,2043   ,2044   ,HOLDER OF PRIV INS (SOURCE UNKNWN) DEC14
HPDFE14,2023   ,2024   ,HOLDER OF PRIV INS (SOURCE UNKNWN) FEB14
HPDJA14,2021   ,2022   ,HOLDER OF PRIV INS (SOURCE UNKNWN) JAN14
HPDJL14,2033   ,2034   ,HOLDER OF PRIV INS (SOURCE UNKNWN) JUL14
HPDJU14,2031   ,2032   ,HOLDER OF PRIV INS (SOURCE UNKNWN) JUN14
HPDMA14,2025   ,2026   ,HOLDER OF PRIV INS (SOURCE UNKNWN) MAR14
HPDMY14,2029   ,2030   ,HOLDER OF PRIV INS (SOURCE UNKNWN) MAY14
HPDNO14,2041   ,2042   ,HOLDER OF PRIV INS (SOURCE UNKNWN) NOV14
HPDOC14,2039   ,2040   ,HOLDER OF PRIV INS (SOURCE UNKNWN) OCT14
HPDSE14,2037   ,2038   ,HOLDER OF PRIV INS (SOURCE UNKNWN) SEP14
HPEAP14,2003   ,2004   ,HOLDER OF EMPL UNION INS IN APR14
HPEAU14,2011   ,2012   ,HOLDER OF EMPL UNION INS IN AUG14
HPEDE14,2019   ,2020   ,HOLDER OF EMPL UNION INS IN DEC14
HPEFE14,1999   ,2000   ,HOLDER OF EMPL UNION INS IN FEB14
HPEJA14,1997   ,1998   ,HOLDER OF EMPL UNION INS IN JAN14
HPEJL14,2009   ,2010   ,HOLDER OF EMPL UNION INS IN JUL14
HPEJU14,2007   ,2008   ,HOLDER OF EMPL UNION INS IN JUN14
HPEMA14,2001   ,2002   ,HOLDER OF EMPL UNION INS IN MAR14
HPEMY14,2005   ,2006   ,HOLDER OF EMPL UNION INS IN MAY14
HPENO14,2017   ,2018   ,HOLDER OF EMPL UNION INS IN NOV14
HPEOC14,2015   ,2016   ,HOLDER OF EMPL UNION INS IN OCT14
HPESE14,2013   ,2014   ,HOLDER OF EMPL UNION INS IN SEP14
HPNAP14,2051   ,2052   ,HOLDER OF NONGROUP INS IN APR14
HPNAU14,2059   ,2060   ,HOLDER OF NONGROUP INS IN AUG14
HPNDE14,2067   ,2068   ,HOLDER OF NONGROUP INS IN DEC14
HPNFE14,2047   ,2048   ,HOLDER OF NONGROUP INS IN FEB14
HPNJA14,2045   ,2046   ,HOLDER OF NONGROUP INS IN JAN14
HPNJL14,2057   ,2058   ,HOLDER OF NONGROUP INS IN JUL14
HPNJU14,2055   ,2056   ,HOLDER OF NONGROUP INS IN JUN14
HPNMA14,2049   ,2050   ,HOLDER OF NONGROUP INS IN MAR14
HPNMY14,2053   ,2054   ,HOLDER OF NONGROUP INS IN MAY14
HPNNO14,2065   ,2066   ,HOLDER OF NONGROUP INS IN NOV14
HPNOC14,2063   ,2064   ,HOLDER OF NONGROUP INS IN OCT14
HPNSE14,2061   ,2062   ,HOLDER OF NONGROUP INS IN SEP14
HPOAP14,2075   ,2076   ,HOLDER OF OTHER GROUP INS IN APR14
HPOAU14,2083   ,2084   ,HOLDER OF OTHER GROUP INS IN AUG14
HPODE14,2091   ,2092   ,HOLDER OF OTHER GROUP INS IN DEC14
HPOFE14,2071   ,2072   ,HOLDER OF OTHER GROUP INS IN FEB14
HPOJA14,2069   ,2070   ,HOLDER OF OTHER GROUP INS IN JAN14
HPOJL14,2081   ,2082   ,HOLDER OF OTHER GROUP INS IN JUL14
HPOJU14,2079   ,2080   ,HOLDER OF OTHER GROUP INS IN JUN14
HPOMA14,2073   ,2074   ,HOLDER OF OTHER GROUP INS IN MAR14
HPOMY14,2077   ,2078   ,HOLDER OF OTHER GROUP INS IN MAY14
HPONO14,2089   ,2090   ,HOLDER OF OTHER GROUP INS IN NOV14
HPOOC14,2087   ,2088   ,HOLDER OF OTHER GROUP INS IN OCT14
HPOSE14,2085   ,2086   ,HOLDER OF OTHER GROUP INS IN SEP14
HPRAP14,2147   ,2148   ,HOLDER OF PRIVATE INSURANCE IN APR14
HPRAU14,2155   ,2156   ,HOLDER OF PRIVATE INSURANCE IN AUG14
HPRDE14,2163   ,2164   ,HOLDER OF PRIVATE INSURANCE IN DEC14
HPRFE14,2143   ,2144   ,HOLDER OF PRIVATE INSURANCE IN FEB14
HPRJA14,2141   ,2142   ,HOLDER OF PRIVATE INSURANCE IN JAN14
HPRJL14,2153   ,2154   ,HOLDER OF PRIVATE INSURANCE IN JUL14
HPRJU14,2151   ,2152   ,HOLDER OF PRIVATE INSURANCE IN JUN14
